epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,184.373,1.05569,1.21717,1.53461,0.22539,0.69231,0.22929,0.13517,1.06277,8.25764,1.33195,0.00183006,0.00183006,0.00183006
80,186.725,1.10115,1.33858,1.63991,0.22862,0.76923,0.2627,0.19565,0.78173,10.1001,1.04631,0.00181506,0.00181506,0.00181506
81,189.691,1.15259,1.38515,1.72335,0.27226,0.69231,0.27169,0.20029,0.73424,9.8364,1.01985,0.00180006,0.00180006,0.00180006
82,192.073,0.9752,1.16523,1.54408,0.26861,0.53846,0.28923,0.20691,0.69147,8.75533,0.98634,0.00178506,0.00178506,0.00178506
83,194.337,0.98829,1.21388,1.62047,0.22958,0.69231,0.23834,0.188,0.64353,11.0678,0.92335,0.00177006,0.00177006,0.00177006
84,196.497,1.03683,1.26076,1.56501,0.21142,0.69231,0.22342,0.16323,0.69256,11.0367,0.97021,0.00175506,0.00175506,0.00175506
85,199.129,1.04788,1.19788,1.63388,0.2241,0.68882,0.21214,0.15146,0.73564,8.3184,1.01166,0.00174006,0.00174006,0.00174006
86,201.132,1.0654,1.14453,1.55767,0.22242,0.69231,0.21653,0.15618,0.68305,8.03681,0.96602,0.00172506,0.00172506,0.00172506
87,203.076,1.01338,1.28976,1.60258,0.22479,0.69231,0.22517,0.18073,0.62915,11.2249,0.92288,0.00171006,0.00171006,0.00171006
88,205.061,1.00211,1.11548,1.59659,0.21872,0.69231,0.22933,0.17255,0.67747,13.2459,0.96797,0.00169507,0.00169507,0.00169507
89,207.287,1.01576,1.17514,1.56141,0.22238,0.69231,0.22415,0.17811,0.61149,15.7821,0.89202,0.00168007,0.00168007,0.00168007
90,210.081,1.06619,1.24309,1.57013,0.22296,0.69231,0.22781,0.1775,0.61135,13.7967,0.90931,0.00166507,0.00166507,0.00166507
91,212.539,1.04189,1.21657,1.53421,0.21416,0.69231,0.20622,0.16613,0.59306,12.9773,0.91266,0.00165007,0.00165007,0.00165007
92,214.731,0.96339,1.28753,1.52766,0.20886,0.69231,0.21967,0.17859,0.5793,12.7673,0.88644,0.00163507,0.00163507,0.00163507
93,216.636,0.99829,1.12603,1.44443,0.20957,0.69231,0.21468,0.17082,0.61246,14.3555,0.9169,0.00162007,0.00162007,0.00162007
94,219.252,0.91893,1.11493,1.47842,0.20804,0.69231,0.21061,0.15976,0.67975,14.0354,0.97314,0.00160507,0.00160507,0.00160507
95,222.262,0.96442,1.12932,1.52748,0.2086,0.69231,0.21141,0.14661,0.75821,12.6606,1.04588,0.00159007,0.00159007,0.00159007
96,224.558,1.04329,1.13616,1.60315,0.20824,0.69231,0.2089,0.16151,0.63186,11.0043,0.92113,0.00157507,0.00157507,0.00157507
97,226.711,0.93825,1.12645,1.49038,0.22133,0.69231,0.21385,0.16349,0.66828,11.7427,0.93744,0.00156007,0.00156007,0.00156007
98,229.304,1.04675,1.14683,1.63346,0.2312,0.67125,0.2207,0.15521,0.72466,12.036,0.99354,0.00154507,0.00154507,0.00154507
99,232.106,0.96986,1.68679,1.55768,0.2431,0.69231,0.22465,0.15703,0.71003,10.4487,0.98742,0.00153007,0.00153007,0.00153007
100,234.869,0.89643,1.47786,1.49351,0.21015,0.61538,0.21199,0.15037,0.7301,8.59747,1.0023,0.00151507,0.00151507,0.00151507
101,236.786,0.98405,1.19713,1.49895,0.21645,0.69231,0.26203,0.19604,0.70165,12.3262,0.9987,0.00150008,0.00150008,0.00150008
102,238.815,0.95779,1.16501,1.54997,0.22016,0.84615,0.26296,0.19997,0.67201,15.0537,0.96224,0.00148508,0.00148508,0.00148508
103,241.407,1.08162,1.17282,1.51491,0.21995,0.92308,0.25723,0.20348,0.62303,16.6397,0.91938,0.00147008,0.00147008,0.00147008
104,243.218,0.96942,1.18674,1.55366,0.21953,0.92308,0.24192,0.19025,0.63696,16.9071,0.92439,0.00145508,0.00145508,0.00145508
105,245.936,0.88663,1.08129,1.46711,0.22116,0.92308,0.25689,0.20987,0.59482,13.1556,0.88391,0.00144008,0.00144008,0.00144008
106,248.114,0.98156,1.16423,1.50373,0.24752,0.61538,0.26122,0.21113,0.63541,11.4564,0.91128,0.00142508,0.00142508,0.00142508
107,250.27,1.04297,1.16971,1.56557,0.24625,0.76923,0.25321,0.20437,0.65203,9.46039,0.92325,0.00141008,0.00141008,0.00141008
