Sample_ID,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5
0143_petal_cutout,0.005411024629491417,0.0,0.014321781749801699,1.876628303762293e-05,0.541430574076137,0.43881785326153216
0144_petal_cutout,0.20304551651546998,0.0,0.0031923668031578942,0.0023904435076752147,0.26629606696825836,0.5250756062054386
0145_petal_cutout,0.06575537731764085,0.0,0.012000420995973055,0.0017322314964839304,0.8162425865113134,0.1042693836785887
0146_petal_cutout,0.040682517976090696,0.0,0.3177579955004632,0.0043959004220153804,0.6183108209449028,0.018852765156528003
0147_petal_cutout,0.05045952370042587,0.0,0.3648810363228139,0.005378644948931678,0.3609219568204759,0.21835883820735263
0148_petal_cutout,0.04213540339403324,0.0,0.011122588392901723,0.00036571677570084365,0.10837877234584617,0.837997519091518
0149_petal_cutout,0.13048399669880903,0.0,0.09663382256251135,0.012220050921328225,0.49962574298407936,0.26103638683327207
0150_petal_cutout,0.11410183669375351,1.2757254013830777e-06,0.11082258454949831,0.009316622606300616,0.5009939495533526,0.2647637308716936
0151_petal_cutout,0.01129914077359501,0.0,0.24079500548249785,0.0001677940837301661,0.45613634377872275,0.2916017158814542
0152_petal_cutout,0.16068644765273904,5.178162288479685e-06,0.06387354562174194,0.12587518557619848,0.15724220823644586,0.4923174347505862
0153_petal_cutout,0.5374298373426517,2.9756207392830537e-06,0.004873570834155762,0.4511983320653883,0.0,0.0064952841370650265
0154_petal_cutout,0.6096414632461511,0.0,0.0011737874640578184,0.056117294557511806,0.09418632513319115,0.23888112959908817
0155_petal_cutout,7.873887474002596e-05,0.0,0.5763056625016517,0.049429912445991465,0.3739797885453943,0.00020589763222248167
0156_petal_cutout,0.1010694520481118,0.0,0.518836754696192,0.01085072759499684,0.1505585266663283,0.21868453899437112
0157_petal_cutout,0.166355633772628,0.0,0.32905832195419726,0.009692223186916385,0.15743332416905634,0.337460496917202
0158_petal_cutout,0.1114922022775032,0.0,0.1153477641750983,0.006044845329599777,0.18740300305527044,0.5797121851625283
0159_petal_cutout,0.011403011675541924,4.325876963407407e-06,0.016388584875868962,0.9721932628792171,0.0,1.0814692408518517e-05
0160_petal_cutout,0.16791057368387272,0.0,0.4017137000052275,0.05597680834126836,0.2526122709072658,0.12178664706236562
0161_petal_cutout,0.16295995536920316,7.992621212096992e-07,0.47280031075311274,0.10149110341332881,0.20030547798272635,0.06244235321950775
0162_petal_cutout,0.12868402738707155,0.09127016470322698,0.011618617638586086,0.7416873757004251,0.016969583376368304,0.009770231194321957
0163_petal_cutout,0.1572816424379976,0.09717682548307363,0.4523065104553162,0.2806546531650779,0.004842939746275714,0.007737428712258936
0164_petal_cutout,0.029571374452847576,0.0,0.0708724191968877,0.0008987436028192109,0.42367412270294696,0.47498334004449855
0165_petal_cutout,0.4595315041607108,0.0,0.01925514212118732,0.000600592715173514,0.10850964454129662,0.4121031164616318
0166_petal_cutout,0.1980583202503515,0.0,0.027685191402406342,0.001886487699646773,0.22074943384216397,0.5516205668054315
